kind,title,source_record,file_url,local_file,bytes,status
legislation,Law on Foreign Exchange Regulation No 62-XVI of 21 March 2008,https://www.bnm.md/en/content/law-foreign-exchange-regulation-no-62-xvi-21-march-2008,https://www.bnm.md/files/Law on foreign exchange regulation No 62-2008_dp L 327-2025.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\017__Law on foreign exchange regulation No 62-2008_dp L 327-2025.docx,149745,downloaded
legislation,"Law on Payment Services and Electronic Money, No 114 of 18 May 2012",https://www.bnm.md/en/content/law-payment-services-and-electronic-money-no-114-18052012,"https://www.bnm.md/files/Law on Payment Services and Electronic Money, no_114-2012_1.pdf","C:\Users\harab\Desktop\BNM_site_inventory\source_files\018__Law on Payment Services and Electronic Money, no_114-2012_1.pdf",485955,downloaded
legislation,"Law on Payment Services and Electronic Money, No 114 of 18 May 2012",https://www.bnm.md/en/content/law-payment-services-and-electronic-money-no-114-18052012,"https://www.bnm.md/files/Law on Payment Services and Electronic Money, no_114-2012_1.doc","C:\Users\harab\Desktop\BNM_site_inventory\source_files\019__Law on Payment Services and Electronic Money, no_114-2012_1.doc",365568,downloaded
legislation,"Law on Single Central Securities Depository No 234 as of October 3, 2016",https://www.bnm.md/en/content/law-single-central-securities-depository-no-234-october-3-2016,https://www.bnm.md/files/Law on Single Central Securities Depository no 234_2016.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\020__Law on Single Central Securities Depository no 234_2016.pdf,723397,downloaded
legislation,"Law on Single Central Securities Depository No 234 as of October 3, 2016",https://www.bnm.md/en/content/law-single-central-securities-depository-no-234-october-3-2016,https://www.bnm.md/files/Law on Single Central Securities Depository no 234_2016.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\021__Law on Single Central Securities Depository no 234_2016.doc,191488,downloaded
legislation,Law No 363/2022 amending some normative acts,https://www.bnm.md/ro/content/legea-nr3632022-pentru-modificarea-unor-acte-normative,https://www.bnm.md/files/L 363 2022 ro.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\022__L 363 2022 ro.pdf,572059,downloaded
legislation,Law No 363/2022 amending some normative acts,https://www.bnm.md/ro/content/legea-nr3632022-pentru-modificarea-unor-acte-normative,https://www.bnm.md/files/L 363 2022 ro.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\023__L 363 2022 ro.doc,154624,downloaded
legislation,Law on non-bank credit organizations no. 1 of 16 march 2018,https://www.bnm.md/en/content/law-non-bank-credit-organizations-no-1-16-march-2018,https://www.bnm.md/files/Law no_1-2018_NBCO_(OCN).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\024__Law no_1-2018_NBCO_(OCN).pdf,216051,downloaded
legislation,Law on non-bank credit organizations no. 1 of 16 march 2018,https://www.bnm.md/en/content/law-non-bank-credit-organizations-no-1-16-march-2018,https://www.bnm.md/files/Law no_1-2018_NBCO_(OCN)___.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\025__Law no_1-2018_NBCO_(OCN)___.docx,118297,downloaded
legislation,Law on Savings and Loan Associations No 139-XVI of 21 June 2007,https://www.bnm.md/en/content/law-savings-and-loan-associations-no-139-xvi-21-june-2007,https://www.bnm.md/files/Law no_139-2007_SLA_(AEI).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\026__Law no_139-2007_SLA_(AEI).pdf,366425,downloaded
legislation,Law on Savings and Loan Associations No 139-XVI of 21 June 2007,https://www.bnm.md/en/content/law-savings-and-loan-associations-no-139-xvi-21-june-2007,https://www.bnm.md/files/Law no_139-2007_SLA_(AEI) --.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\027__Law no_139-2007_SLA_(AEI) --.docx,127929,downloaded
legislation,"Law on bureaus of credit history No 122-XVI of 29 May, 2008",https://www.bnm.md/en/content/law-bureaus-credit-history-no-122-xvi-29-may-2008,https://www.bnm.md/files/Law no_122-2008_BCH_(BIC).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\028__Law no_122-2008_BCH_(BIC).pdf,263269,downloaded
legislation,"Law on bureaus of credit history No 122-XVI of 29 May, 2008",https://www.bnm.md/en/content/law-bureaus-credit-history-no-122-xvi-29-may-2008,https://www.bnm.md/files/Law no_122-2008_BCH_(BIC).docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\029__Law no_122-2008_BCH_(BIC).docx,75306,downloaded
legislation,Law on compulsory motor third party liability insurance for damages caused by vehicles No.106 of 21 april 2022,https://www.bnm.md/en/content/law-compulsory-motor-third-party-liability-insurance-damages-caused-vehicles-no106-21-april,https://www.bnm.md/files/Law No_ 106-2022_MTPL_ ENG (2).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\030__Law No_ 106-2022_MTPL_ ENG (2).pdf,504009,downloaded
legislation,Law on compulsory motor third party liability insurance for damages caused by vehicles No.106 of 21 april 2022,https://www.bnm.md/en/content/law-compulsory-motor-third-party-liability-insurance-damages-caused-vehicles-no106-21-april,https://www.bnm.md/files/Law No_ 106-2022_MTPL_ ENG (2).docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\031__Law No_ 106-2022_MTPL_ ENG (2).docx,117831,downloaded
legislation,"Law on the business of insurance and reinsurance No 92 of April 7th, 2022",https://www.bnm.md/en/content/law-business-insurance-and-reinsurance-no-92-april-7th-2022,https://www.bnm.md/files/Law No_92-22_Insurance_ENG_ (1).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\032__Law No_92-22_Insurance_ENG_ (1).pdf,1696503,downloaded
legislation,"Law on the business of insurance and reinsurance No 92 of April 7th, 2022",https://www.bnm.md/en/content/law-business-insurance-and-reinsurance-no-92-april-7th-2022,https://www.bnm.md/files/Law No_92-22_Insurance_ENG_ (1).docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\033__Law No_92-22_Insurance_ENG_ (1).docx,325524,downloaded
legislation,Law on transparency in the decision-making process no. 239-XVI of 13.11.2008,https://www.bnm.md/en/content/law-transparency-decision-making-process-no-239-xvi-13112008,https://www.bnm.md/files/ENG_Legea 239.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\034__ENG_Legea 239.pdf,110471,downloaded
legislation,Law on transparency in the decision-making process no. 239-XVI of 13.11.2008,https://www.bnm.md/en/content/law-transparency-decision-making-process-no-239-xvi-13112008,https://www.bnm.md/files/ENG_Legea 239.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\035__ENG_Legea 239.docx,39179,downloaded
