id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
27,legislation,Law on Savings and Loan Associations No 139-XVI of 21 June 2007,https://www.bnm.md/files/Law no_139-2007_SLA_(AEI) --.docx,https://www.bnm.md/en/content/law-savings-and-loan-associations-no-139-xvi-21-june-2007,legal/original/027__Law no_139-2007_SLA_(AEI) --.docx,legal/documents/027__Law no_139-2007_SLA_(AEI) --.docx.md,eeea7a9c486f2d95e957eff34019fa79e09502862fc57d1a5159a1729e605799,8d8b2234b120544f611dfdf82cc5374ccda79769ef3a38fff5f3aa1f01179ea5,text-extracted
28,legislation,"Law on bureaus of credit history No 122-XVI of 29 May, 2008",https://www.bnm.md/files/Law no_122-2008_BCH_(BIC).pdf,https://www.bnm.md/en/content/law-bureaus-credit-history-no-122-xvi-29-may-2008,legal/original/028__Law no_122-2008_BCH_(BIC).pdf,legal/documents/028__Law no_122-2008_BCH_(BIC).pdf.md,6ff7e989cf192111730e163ac2a316e57cb08f59da5f35c7902c3a7af62c50da,0b921e1f169ec50184569460bb07ecda22b8efdb949dac5d8dd27f3529019ffa,text-extracted
29,legislation,"Law on bureaus of credit history No 122-XVI of 29 May, 2008",https://www.bnm.md/files/Law no_122-2008_BCH_(BIC).docx,https://www.bnm.md/en/content/law-bureaus-credit-history-no-122-xvi-29-may-2008,legal/original/029__Law no_122-2008_BCH_(BIC).docx,legal/documents/029__Law no_122-2008_BCH_(BIC).docx.md,b9386bf2ea20aa0abd1012431c25fb92b142b4891adf86b107ca76be4432efc1,81d256e4398cc7656c660a1c2dbf156257e78e8575d2340dcdd93d0de1974260,text-extracted
30,legislation,Law on compulsory motor third party liability insurance for damages caused by vehicles No.106 of 21 april 2022,https://www.bnm.md/files/Law No_ 106-2022_MTPL_ ENG (2).pdf,https://www.bnm.md/en/content/law-compulsory-motor-third-party-liability-insurance-damages-caused-vehicles-no106-21-april,legal/original/030__Law No_ 106-2022_MTPL_ ENG (2).pdf,legal/documents/030__Law No_ 106-2022_MTPL_ ENG (2).pdf.md,1771fccceba34a178131d231d5827f89b898faa2c958e0439200540e078f2dc5,083395542714af4439f02384aa50e41e9d552c4e5e1c0e93c6e43b45e2d91310,text-extracted
31,legislation,Law on compulsory motor third party liability insurance for damages caused by vehicles No.106 of 21 april 2022,https://www.bnm.md/files/Law No_ 106-2022_MTPL_ ENG (2).docx,https://www.bnm.md/en/content/law-compulsory-motor-third-party-liability-insurance-damages-caused-vehicles-no106-21-april,legal/original/031__Law No_ 106-2022_MTPL_ ENG (2).docx,legal/documents/031__Law No_ 106-2022_MTPL_ ENG (2).docx.md,f7a763f07ce0d8066f9bed48073e4b5d50a8f08c0e6036807b5c8eefb6b61c89,b9baaecd8081225ddcb892469840ce85692d2455f65d7317017442a230577630,text-extracted
32,legislation,"Law on the business of insurance and reinsurance No 92 of April 7th, 2022",https://www.bnm.md/files/Law No_92-22_Insurance_ENG_ (1).pdf,https://www.bnm.md/en/content/law-business-insurance-and-reinsurance-no-92-april-7th-2022,legal/original/032__Law No_92-22_Insurance_ENG_ (1).pdf,legal/documents/032__Law No_92-22_Insurance_ENG_ (1).pdf.md,297f1273a4c6d9e833ce254e2981dd730dba1236c96c7d0d1f0895ee43e416e6,27f5320ec034fd46718d615dad1170d00166e59f4079c8789e2c4fe67f67ad87,text-extracted
33,legislation,"Law on the business of insurance and reinsurance No 92 of April 7th, 2022",https://www.bnm.md/files/Law No_92-22_Insurance_ENG_ (1).docx,https://www.bnm.md/en/content/law-business-insurance-and-reinsurance-no-92-april-7th-2022,legal/original/033__Law No_92-22_Insurance_ENG_ (1).docx,legal/documents/033__Law No_92-22_Insurance_ENG_ (1).docx.md,2cf798b9e1d96629626bc79ef51e273b0c206732eee519665e8cfcce4dc7e5b5,63d88289b1924f91f4c3ec5af6bdfd28ec806ce0f0d618568cf589e79807d900,text-extracted
34,legislation,Law on transparency in the decision-making process no. 239-XVI of 13.11.2008,https://www.bnm.md/files/ENG_Legea 239.pdf,https://www.bnm.md/en/content/law-transparency-decision-making-process-no-239-xvi-13112008,legal/original/034__ENG_Legea 239.pdf,legal/documents/034__ENG_Legea 239.pdf.md,42e1e29b1190857fc4843fcc2f67012e375b7ace571e2b8cf696c43af0216488,11a4817956ceeb31d671e88d7c1371e045df6c0723bb364ce6c65789f2421ee4,text-extracted
35,legislation,Law on transparency in the decision-making process no. 239-XVI of 13.11.2008,https://www.bnm.md/files/ENG_Legea 239.docx,https://www.bnm.md/en/content/law-transparency-decision-making-process-no-239-xvi-13112008,legal/original/035__ENG_Legea 239.docx,legal/documents/035__ENG_Legea 239.docx.md,46bf33a65869da8be18a3d3db3ba4aa432d28dc0dc8327d81123da82bcd73c70,e8f0634c414f116696f0fcd9e378f800dbe1b4ac599e07e38a43258af61b618d,text-extracted
36,legislation,"Regulation on responsible lending to consumers, approved by the Decision No 60 of 12 March 2026",https://www.bnm.md/files/Regulation on responsible lending to individuals.pdf,https://www.bnm.md/en/content/regulation-responsible-lending-consumers-approved-decision-no-60-12-march-2026-effect,legal/original/036__Regulation on responsible lending to individuals.pdf,legal/documents/036__Regulation on responsible lending to individuals.pdf.md,5f16fe8dd20670e242a7e8c3dc2a3959d2430bfe0a00455adb6e7a345bcfc8bf,330fe159620eb99d71277640935ff8b1d1e7c31e01461d222467056ab056b288,text-extracted
