id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
53,legislation,"Regulation on Certain Aspects Related to Export and Import of Cash and of Traveller’s Cheques by Banks, approved by DEB of the NBM No 165 of June 14, 2019",https://www.bnm.md/files/1_en_reg exp imp b_hce165_ro_dp publ.doc,https://www.bnm.md/en/content/regulation-certain-aspects-related-export-and-import-cash-and-travellers-cheques-banks,original/053__1_en_reg exp imp b_hce165_ro_dp publ.doc,documents/053__1_en_reg exp imp b_hce165_ro_dp publ.doc.md,5f048c315a989ec87058fa23782d596861fd07f141035c95ebf892ac1b0e925c,a876ef7625989f055ef306d4da548f14da6dace57797297fd05e7df41a6793a5,text-extracted
54,legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/files/Financial conglomerates regulation.pdf,https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,original/054__Financial conglomerates regulation.pdf,documents/054__Financial conglomerates regulation.pdf.md,1b335db646b7edc9596bde2d2936d8617abd415985704c521fcbdc0321ebcf56,8db4eb04e87b3d97d9e118447b6b0d421e21d3ca33137e81c17042e17d415460,text-extracted
55,legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/files/Financial conglomerates regulation.docx,https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,original/055__Financial conglomerates regulation.docx,documents/055__Financial conglomerates regulation.docx.md,5cdf2682bc0edcd50be1172c6eda73305eae28090b086ed32b93cb5ac9cd9632,2cbac272495e5ab3c38ba3a87d1cf35578ad6604a503dfcddaf14e0203bcd33d,text-extracted
56,legislation,"Regulation on the requirements for publication of information by banks, approved by the Decision of the Executive Board of the National Bank of Moldova, No. 158 of 9 July 2020",https://www.bnm.md/files/EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,https://www.bnm.md/en/content/regulation-requirements-publication-information-banks-approved-decision-executive-board,original/056__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,documents/056__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf.md,208a991ae469994b512a30b1958852244f5aadc1bb52e7897977ec16b1e142ac,7b31139d785949380074e3270fd60ae71934517ee1e9da876baf175269960577,text-extracted
57,legislation,"Regulation on the requirements for publication of information by banks, approved by the Decision of the Executive Board of the National Bank of Moldova, No. 158 of 9 July 2020",https://www.bnm.md/files/EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.docx,https://www.bnm.md/en/content/regulation-requirements-publication-information-banks-approved-decision-executive-board,original/057__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.docx,documents/057__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.docx.md,c7661ae49a10ac9b28993e1c1db17bc0aae5fea1ad897f37dca1ffc3a3280642,f62d49fc9dfe91fa87fea3b22666ac53e2f7af1ac79179680c902b5c9daf90d0,text-extracted
58,legislation,"Regulation on outsourcing the bank's activities and operations, approved by Decision of the Executive Board of the National Bank of Moldova no.46 of February 26, 2020",https://www.bnm.md/files/REG_046_EN_08_12_21.pdf,https://www.bnm.md/en/content/regulamentul-privind-externalizarea-activitatilor-si-operatiunilor-bancii-aprobat-prin,original/058__REG_046_EN_08_12_21.pdf,documents/058__REG_046_EN_08_12_21.pdf.md,7dbdc44881560b946063d6bad68c3bc26bfbc6f7469ea33d407e2710ae3e23e8,39dc50b4d7487c0306da52aa85a408d5bee7ce85381e991932c0ab8c14c1fa93,text-extracted
59,legislation,"Regulation on outsourcing the bank's activities and operations, approved by Decision of the Executive Board of the National Bank of Moldova no.46 of February 26, 2020",https://www.bnm.md/files/REG_046_EN_08_12_21_1.doc,https://www.bnm.md/en/content/regulamentul-privind-externalizarea-activitatilor-si-operatiunilor-bancii-aprobat-prin,original/059__REG_046_EN_08_12_21_1.doc,documents/059__REG_046_EN_08_12_21_1.doc.md,f190fa3cf19bb00b730e7f6f14cfc9e314201e15e6cf277c8c8a5b139e67ec8f,34f1f116512b012fb3dd629f27373efe6669490fba1eb000300010dd589fcb92,text-extracted
60,legislation,"Regulation on Banks' Transactions with Their Related Parties, approved by the DCA of the NBM no. 240 from December 9, 2013",https://www.bnm.md/files/Regulamentul 240_2013 l engl_2.pdf,https://www.bnm.md/en/content/regulation-large-exposures-approved-dca-nbm-no-240-december-9-2013,original/060__Regulamentul 240_2013 l engl_2.pdf,documents/060__Regulamentul 240_2013 l engl_2.pdf.md,96b0b49790e3712cece4d06d5d8b0ae17d4c26c1d3aec4b8f8132e4080541bdc,3a0d5c47e23668cc735bdc523a16ffbcab119a54f00d940f78076c2fd23de883,text-extracted
61,legislation,"Regulation on Banks' Transactions with Their Related Parties, approved by the DCA of the NBM no. 240 from December 9, 2013",https://www.bnm.md/files/Regulamentul 240_2013 l engl.doc,https://www.bnm.md/en/content/regulation-large-exposures-approved-dca-nbm-no-240-december-9-2013,original/061__Regulamentul 240_2013 l engl.doc,documents/061__Regulamentul 240_2013 l engl.doc.md,b2798beac323489ceeebf0cf81bbf64741cdf0781e152b90fe145a1958d2d18f,63026871a5fa8ece642805356699fc795571db9cfe1b35792c257e55371adfff,text-extracted
62,legislation,"Regulation on Large Exposures, approved by Decision of the Executive Board of the National Bank of Moldova no.109 of April 5, 2019 (in force as of 19.06.2019)",https://www.bnm.md/files/Regulament_109_2019_expuneri mari_eng_1.pdf,https://www.bnm.md/en/content/regulation-large-exposures-approved-decision-council-administration-national-bank-moldova,original/062__Regulament_109_2019_expuneri mari_eng_1.pdf,documents/062__Regulament_109_2019_expuneri mari_eng_1.pdf.md,5194f977e69270fe441d52f9d4659e7da034107af5c1576e8d9cca8f9adc6c32,9d59d3cf17afc2e5c3b07d3ac2040ea32112551c2cf1a1bd39342944b3e3bcba,text-extracted
